first:2 scnd:4 diff:2
first:5 scnd:11 diff:6
first:9 scnd:21 diff:12
first:15 scnd:37 diff:22
first:25 scnd:51 diff:26
first:31 scnd:67 diff:36
first:43 scnd:85 diff:42
first:55 scnd:99 diff:44
first:63 scnd:121 diff:58
first:75 scnd:145 diff:70
first:87 scnd:163 diff:76
first:97 scnd:195 diff:98
first:111 scnd:219 diff:108
first:123 scnd:243 diff:120
first:135 scnd:271 diff:136
first:157 scnd:303 diff:146
first:171 scnd:331 diff:160
first:193 scnd:351 diff:158
first:205 scnd:385 diff:180
first:223 scnd:403 diff:180
first:241 scnd:445 diff:204
first:265 scnd:471 diff:206
first:277 scnd:507 diff:230
first:291 scnd:529 diff:238
first:313 scnd:555 diff:242
first:339 scnd:579 diff:240
first:349 scnd:615 diff:266
first:373 scnd:655 diff:282
first:387 scnd:691 diff:304
first:399 scnd:711 diff:312
first:423 scnd:739 diff:316
first:447 scnd:793 diff:346
first:459 scnd:865 diff:406
first:481 scnd:889 diff:408
first:511 scnd:913 diff:402
first:523 scnd:955 diff:432
first:541 scnd:1015 diff:474
first:559 scnd:1047 diff:488
first:577 scnd:1095 diff:518
first:601 scnd:1153 diff:552
first:625 scnd:1201 diff:576
first:639 scnd:1231 diff:592
first:663 scnd:1251 diff:588
first:699 scnd:1279 diff:580
first:709 scnd:1333 diff:624
first:733 scnd:1383 diff:650
first:747 scnd:1417 diff:670
first:781 scnd:1453 diff:672
first:835 scnd:1491 diff:656
first:871 scnd:1527 diff:656
first:879 scnd:1573 diff:694
first:903 scnd:1609 diff:706
first:919 scnd:1659 diff:740
first:949 scnd:1695 diff:746
first:997 scnd:1735 diff:738
first:1021 scnd:1791 diff:770
first:1045 scnd:1837 diff:792
first:1069 scnd:1879 diff:810
first:1099 scnd:1927 diff:828
first:1129 scnd:1981 diff:852
first:1171 scnd:2029 diff:858
first:1207 scnd:2071 diff:864
first:1215 scnd:2115 diff:900
first:1239 scnd:2179 diff:940
first:1263 scnd:2221 diff:958
first:1275 scnd:2275 diff:1000
first:1311 scnd:2307 diff:996
first:1347 scnd:2331 diff:984
first:1381 scnd:2377 diff:996
first:1395 scnd:2425 diff:1030
first:1431 scnd:2467 diff:1036
first:1447 scnd:2527 diff:1080
first:1477 scnd:2559 diff:1082
first:1503 scnd:2617 diff:1114
first:1525 scnd:2653 diff:1128
first:1549 scnd:2701 diff:1152
first:1575 scnd:2727 diff:1152
first:1591 scnd:2775 diff:1184
first:1633 scnd:2821 diff:1188
first:1671 scnd:2863 diff:1192
first:1693 scnd:2953 diff:1260
first:1711 scnd:2971 diff:1260
first:1743 scnd:3013 diff:1270
first:1789 scnd:3049 diff:1260
first:1813 scnd:3087 diff:1274
first:1851 scnd:3133 diff:1282
first:1875 scnd:3175 diff:1300
first:1915 scnd:3241 diff:1326
first:1935 scnd:3289 diff:1354
first:1971 scnd:3349 diff:1378
first:1993 scnd:3391 diff:1398
first:2031 scnd:3423 diff:1392
first:2067 scnd:3481 diff:1414
first:2103 scnd:3555 diff:1452
first:2137 scnd:3591 diff:1454
first:2173 scnd:3649 diff:1476
first:2197 scnd:3687 diff:1490
first:2223 scnd:3763 diff:1540
first:2239 scnd:3817 diff:1578
first:2295 scnd:3867 diff:1572
first:2317 scnd:3895 diff:1578
first:2329 scnd:3961 diff:1632
first:2355 scnd:4023 diff:1668
first:2389 scnd:4057 diff:1668
first:2419 scnd:4093 diff:1674
first:2461 scnd:4119 diff:1658
first:2497 scnd:4177 diff:1680
first:2509 scnd:4227 diff:1718
first:2535 scnd:4273 diff:1738
first:2569 scnd:4335 diff:1766
first:2593 scnd:4375 diff:1782
first:2631 scnd:4399 diff:1768
first:2667 scnd:4435 diff:1768
first:2691 scnd:4477 diff:1786
first:2713 scnd:4501 diff:1788
first:2749 scnd:4551 diff:1802
first:2761 scnd:4609 diff:1848
first:2791 scnd:4681 diff:1890
first:2835 scnd:4717 diff:1882
first:2851 scnd:4753 diff:1902
first:2907 scnd:4825 diff:1918
first:2955 scnd:4849 diff:1894
first:2967 scnd:4959 diff:1992
first:2995 scnd:5019 diff:2024
first:3031 scnd:5055 diff:2024
first:3043 scnd:5101 diff:2058
first:3063 scnd:5151 diff:2088
first:3099 scnd:5191 diff:2092
